Term,Count,PValue,Genes,Fold Enrichment,Bonferroni,Benjamini,FDR
hsa05133:Pertussis,41,3.54E-12,"ITGB1, ITGAM, SFTPA2, C1R, ITGB2, GNAI3, LY96, RELA, GNAI1, GNAI2, C3, PYCARD, MAPK9, CASP7, MAPK8, IRAK1, CASP3, CFL1, CASP1, MAPK1, CD14, MAPK3, JUN, FOS, IRAK4, MAPK14, TICAM1, RHOA, MAPK12, NFKB1, MAPK13, MAPK10, MAPK11, IRF3, TRAF6, CALM3, SFTPA1, ITGA5, CALM1, CALM2, TLR4",3.06242864,1.14E-09,1.06E-11,3.78E-12
hsa04211:Longevity regulating pathway,45,4.93E-12,"ATF2, PRKAA1, PRKAA2, ADCY4, PRKAG2, ADCY3, PIK3CD, PIK3R3, IRS2, PIK3R2, PIK3R1, FOXO3, ADCY7, FOXO1, RELA, ADCY6, RPTOR, STK11, CREB3L4, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, PRKACA, HRAS, PRKACB, TSC1, IGF1, SIRT1, PRKAB1, NFKB1, CREB3, CREB1, ADCY9, PIK3CA, RPS6KB1, CAMK4, CAT, RPS6KB2, BAX, KRAS, TP53, ATF4, CREB5",2.870240052,1.58E-09,1.47E-11,5.21E-12
hsa05146:Amoebiasis,49,5.27E-12,"ITGAM, ITGB2, PIK3CD, LAMC2, CXCL2, CASP3, PRKACA, PRKACB, ACTN1, PRKCA, ACTN4, SERPINB6, PLCB3, PLCB4, COL4A2, PIK3CA, COL4A1, COL4A4, COL4A3, COL4A5, TLR4, PLCB2, LAMA5, RAB5C, LAMA2, LAMA4, LAMA3, PIK3R3, PIK3R2, PIK3R1, RELA, GNA15, PRDX1, GNA11, CD14, TGFB2, TGFB1, LAMB3, TGFB3, LAMB2, FN1, NFKB1, COL1A1, COL3A1, GNAL, COL1A2, GNAQ, GNAS, RAB5A",2.727040711,1.69E-09,1.55E-11,5.51E-12
hsa05225:Hepatocellular carcinoma,68,5.35E-12,"RB1, CDKN1A, PTEN, ARAF, PIK3CD, ELK1, ACTB, ACTG1, CCND1, MYC, AKT2, AKT3, AKT1, POLK, HRAS, MAP2K1, MAP2K2, HGF, GAB1, PRKCA, TGFBR1, TGFBR2, PIK3CA, RAF1, SOS1, MET, TP53, SOS2, SHC2, SMARCD3, SHC3, SHC1, TCF7, PIK3R3, TGFA, GSTT1, PIK3R2, PIK3R1, EGFR, LRP6, E2F1, PLCG2, MAPK1, HMOX1, E2F3, BAK1, PLCG1, MAPK3, SMAD2, TCF7L2, TGFB2, TCF7L1, SMAD4, TGFB1, SMAD3, TGFB3, CDKN2A, BAD, BRAF, CDK6, RPS6KB1, CDK4, RPS6KB2, BAX, CTNNB1, KRAS, GRB2, BCL2L1",2.297710687,1.72E-09,1.56E-11,5.55E-12
hsa04540:Gap junction,44,1.42E-11,"ADCY4, GNAI3, PDGFB, ITPR1, PDGFA, ADCY3, ITPR2, ITPR3, ADCY7, GNAI1, EGFR, ADCY6, GNAI2, TUBA1C, TUBA1B, TUBB6, TUBB3, GNA11, PDGFC, MAPK1, PRKACA, HRAS, PRKACB, MAPK3, PDGFRB, GUCY1A2, MAP2K1, MAP2K2, PRKCA, CSNK1D, TUBA4A, PLCB3, PLCB4, TUBB2A, ADCY9, GNAQ, CDK1, GNAS, GRB2, KRAS, RAF1, SOS1, PLCB2, SOS2",2.838348495,4.56E-09,4.11E-11,1.46E-11
hsa04750:Inflammatory mediator regulation of TRP channels,47,1.64E-11,"CAMK2D, ADCY4, ITPR1, ADCY3, PIK3CD, PIK3R3, ITPR2, PIK3R2, ITPR3, PIK3R1, PLA2G6, ADCY7, ADCY6, PPP1CB, MAPK9, PPP1CC, MAPK8, PLCG2, PLCG1, PRKACA, CAMK2G, PRKACB, MAP2K6, MAP2K3, PRKCE, PRKCD, PLA2G4C, PLA2G4A, PRKCA, IGF1, MAPK14, MAPK12, MAPK13, PPP1CA, MAPK10, MAPK11, PLCB3, PLCB4, ADCY9, PIK3CA, GNAQ, GNAS, PRKCQ, CALM3, CALM1, PLCB2, CALM2",2.722497536,5.27E-09,4.70E-11,1.67E-11
hsa04931:Insulin resistance,50,1.69E-11,"PTEN, PIK3CD, PRKAG2, IRS2, IKBKB, PPP1CB, PPP1CC, CREB3L4, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, CPT1A, PDPK1, PRKCE, PRKCD, PRKAB1, TNFRSF1A, CREB3, CREB1, PPP1R3C, PIK3CA, PPP1R3B, PPP1R3E, PPP1R3D, PRKCQ, PPARA, CREB5, PRKAA1, PRKAA2, PIK3R3, PIK3R2, PIK3R1, ACACB, PRKCZ, FOXO1, RELA, MAPK9, MAPK8, PCK2, GFPT1, STAT3, PTPN11, NFKB1, PPP1CA, NFKBIA, MAPK10, RPS6KB1, RPS6KB2",2.628100459,5.42E-09,4.79E-11,1.70E-11
hsa04024:cAMP signaling pathway,81,1.74E-11,"PDE3B, ATP2A3, PIK3CD, ATP2A2, PPP1CB, PPP1CC, EDNRA, CREB3L4, AKT2, CREB3L1, AKT3, CREB3L2, RAC2, PDE4A, AKT1, EP300, PLCE1, RAC1, PRKACA, PRKACB, VAV3, MAP2K1, MAP2K2, FOS, ATP1B1, RHOA, VAV1, VAV2, TIAM1, CREB3, CREB1, ADCY9, PIK3CA, ACOX1, ACOX3, RAF1, PPARA, MYL9, RAPGEF3, CREB5, CAMK2D, ROCK2, ADCY4, GNAI3, PIK3R3, ADCY3, CACNA1D, PIK3R2, CACNA1C, PIK3R1, ATP1A1, ADCY7, RELA, GNAI1, ADCY6, SLC9A1, GNAI2, PLD2, RAP1B, MAPK9, MAPK8, RAP1A, PLN, MAPK1, CAMK2G, MAPK3, JUN, CREBBP, BAD, ATP2B4, BRAF, ATP2B1, NFKB1, PPP1CA, NFKBIA, MAPK10, CAMK4, GNAS, CALM3, CALM1, CALM2",2.08059935,5.57E-09,4.89E-11,1.74E-11
hsa04658:Th1 and Th2 cell differentiation,45,2.06E-11,"NOTCH2, NOTCH3, CD3D, RELA, IKBKB, PPP3CA, MAPK9, PPP3CB, PPP3R1, MAPK8, PPP3CC, MAPK1, IKBKG, PLCG1, JAK2, JAK3, JAK1, MAPK3, STAT5B, JUN, CHUK, IFNGR1, STAT1, IFNGR2, NFATC3, NFATC2, TYK2, FOS, MAPK14, MAPK12, NFKB1, MAPK13, MAPK10, NFKBIA, MAPK11, ZAP70, CD4, LCK, HLA-DPB1, PRKCQ, MAML3, NFKBIE, LAT, HLA-DRB1, NFKBIB",2.776645267,6.63E-09,5.76E-11,2.06E-11
hsa05110:Vibrio cholerae infection,31,2.20E-11,"ATP6V1A, ARF1, ADCY3, TCIRG1, ACTB, ACTG1, SEC61A2, SEC61G, PLCG2, ATP6V1H, SEC61B, PLCG1, ATP6V1E1, ATP6V0E2, PRKACA, ATP6V1D, PRKACB, ATP6V1C1, ATP6V1F, ATP6V0A1, ATP6V1G1, ATP6V0B, ATP6V0E1, ATP6AP1, PRKCA, ADCY9, KCNQ1, ATP6V1B2, GNAS, ATP6V0D1, ATP6V0C",3.519552134,7.05E-09,6.08E-11,2.20E-11
hsa05226:Gastric cancer,61,4.38E-11,"RB1, CDKN1A, CDKN1B, ARAF, PIK3CD, FGF2, CCND1, CDH1, MYC, AKT2, AKT3, AKT1, POLK, HRAS, MAP2K1, MAP2K2, HGF, GAB1, TGFBR1, TGFBR2, PIK3CA, RAF1, SOS1, MET, TP53, SOS2, SHC2, SHC3, SHC1, TCF7, PIK3R3, PIK3R2, PIK3R1, EGFR, LRP6, RXRA, ERBB2, E2F1, CTNNA1, MAPK1, E2F3, BAK1, MAPK3, SMAD2, TCF7L2, TGFB2, CDKN2B, TCF7L1, SMAD4, TGFB1, SMAD3, TGFB3, BRAF, RPS6KB1, RPS6KB2, CDK2, BCL2, BAX, CTNNB1, KRAS, GRB2",2.324016889,1.41E-08,1.20E-10,4.38E-11
hsa04922:Glucagon signaling pathway,49,4.47E-11,"ATF2, PDE3B, PRKAG2, PPP3CA, PPP3CB, PPP3CC, CREB3L4, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, EP300, PRKACA, PRKACB, CPT1A, PHKA2, PRKAB1, SIRT1, CREB3, PLCB3, PLCB4, CREB1, PPARA, PLCB2, ATF4, CREB5, CAMK2D, PRKAA1, PRKAA2, ITPR1, ITPR2, ITPR3, PDHB, ACACB, FOXO1, PPP3R1, LDHA, PHKG2, CAMK2G, PCK2, CREBBP, PDHA1, PFKL, GNAQ, GNAS, CALM3, CALM1, CALM2",2.599608902,1.43E-08,1.22E-10,4.47E-11
hsa05134:Legionellosis,33,5.52E-11,"RAB1A, ARF1, VCP, ITGAM, RAB1B, ITGB2, CXCL2, RELA, HSPD1, CASP9, C3, PYCARD, CASP7, CASP8, CASP3, HSF1, CASP1, CD14, HSPA8, CR1, APAF1, BNIP3, HSPA6, IL18, HSPA2, NFKB1, NFKB2, EEF1G, NFKBIA, EEF1A1, CYCS, SEC22B, TLR4",3.286508784,1.77E-08,1.49E-10,5.52E-11
hsa04623:Cytosolic DNA-sensing pathway,35,6.03E-11,"RELA, IKBKB, PYCARD, TBK1, CCL5, CASP1, POLR2E, POLR2F, RIPK1, IKBKG, POLR2H, IKBKE, POLR2K, POLR2L, RIPK3, CHUK, POLR3GL, IL18, NFKB1, NFKBIA, CXCL10, MAVS, POLR3A, IRF3, POLR3B, POLR3C, POLR3D, POLR3E, POLR1C, POLR1D, IRF7, POLR3F, POLR3H, POLR3K, NFKBIB",3.153720551,1.94E-08,1.61E-10,6.03E-11
hsa03020:RNA polymerase,24,1.49E-10,"POLR3GL, POLR3A, POLR2A, POLR3B, POLR2B, POLR3C, POLR1B, POLR3D, POLR2C, POLR3E, POLR2D, POLR1C, POLR1D, POLR2E, POLR3F, POLR1E, POLR2F, POLR3H, POLR2G, POLR2H, POLR2I, POLR3K, POLR2K, POLR2L",4.007080229,4.78E-08,3.95E-10,1.49E-10
hsa04213:Longevity regulating pathway - multiple species,34,1.89E-10,"PRKAA1, HDAC2, PRKAA2, ADCY4, PRKAG2, ADCY3, PIK3CD, PIK3R3, IRS2, PIK3R2, PIK3R1, FOXO3, ADCY7, FOXO1, ADCY6, RPTOR, AKT2, AKT3, AKT1, PRKACA, HRAS, PRKACB, HSPA8, HSPA6, IGF1, HSPA2, SIRT1, PRKAB1, ADCY9, PIK3CA, RPS6KB1, CAT, RPS6KB2, KRAS",3.113027382,6.07E-08,4.97E-10,1.89E-10
hsa04152:AMPK signaling pathway,51,4.48E-10,"PIK3CD, PRKAG2, PPP2R2A, IRS2, RPTOR, STK11, PPP2R1B, CCND1, PPP2R1A, PPP2R5E, CREB3L4, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, MAP3K7, CPT1A, PDPK1, PPP2R5B, PPP2R5A, PPP2R5D, TSC1, PPP2R5C, PRKAB1, SIRT1, CCNA2, CREB3, CREB1, PIK3CA, CREB5, PRKAA1, PRKAA2, PIK3R3, PIK3R2, PIK3R1, HMGCR, FOXO3, ACACB, FOXO1, PPP2CA, PPP2CB, PPP2R3C, PCK2, PPP2R3A, IGF1, EEF2, PFKL, RPS6KB1, FASN, RPS6KB2",2.412596221,1.44E-07,1.17E-09,4.48E-10
hsa05219:Bladder cancer,26,6.48E-10,"RB1, CDKN1A, ARAF, EGFR, RASSF1, CCND1, CDH1, MYC, ERBB2, E2F1, MAPK1, E2F3, HRAS, MAPK3, MAP2K1, MAP2K2, CDKN2A, DAPK1, MMP2, DAPK2, BRAF, CDK4, MDM2, KRAS, RAF1, TP53",3.599856628,2.08E-07,1.68E-09,6.48E-10
hsa04714:Thermogenesis,80,7.05E-10,"ATF2, KDM1A, NDUFA11, NDUFA12, PRKAG2, ACTB, ACTG1, RPTOR, CPT2, CREB3L4, CREB3L1, CREB3L2, MLST8, UQCRFS1, PRKACA, PRKACB, HRAS, MAP2K3, CPT1A, RPS6, NDUFC2, ACSL5, ACSL4, TSC1, SIRT6, NDUFC1, SDHD, PRKAB1, SDHB, CREB3, CREB1, ADCY9, NDUFS8, NDUFS7, NDUFS6, NDUFS5, NDUFS4, UQCRC1, NDUFS2, SOS1, SOS2, CREB5, NDUFB9, PRKAA1, NDUFB8, PRKAA2, SMARCD3, NDUFB7, UQCRB, NDUFB6, NDUFB10, NDUFB11, NDUFB4, ADCY4, NDUFB2, NDUFB1, ADCY3, UQCR11, COX5A, ADCY7, ADCY6, NDUFV3, NDUFV2, NDUFA8, NDUFA6, NDUFA4, NDUFA3, NDUFA2, NDUFA1, MAPK14, MAPK12, MAPK13, MAPK11, RPS6KB1, RPS6KB2, NDUFAB1, GNAS, KRAS, GRB2, FGFR1",1.957481721,2.26E-07,1.81E-09,7.05E-10
hsa04650:Natural killer cell mediated cytotoxicity,52,1.03E-09,"ITGB2, ICAM2, ARAF, PIK3CD, ICAM1, PPP3CA, PPP3CB, FCGR3A, PPP3CC, CASP3, TNFSF10, RAC2, RAC1, HRAS, VAV3, IFNAR2, MAP2K1, MAP2K2, SYK, IFNGR1, IFNGR2, PRKCA, VAV1, VAV2, ZAP70, TYROBP, PIK3CA, LCK, RAF1, SOS1, SOS2, IFNAR1, SHC2, SHC3, SHC1, PIK3R3, PIK3R2, PIK3R1, PPP3R1, PLCG2, MAPK1, FYN, PLCG1, MAPK3, NFATC2, PTPN11, BRAF, TNFRSF10A, FAS, KRAS, GRB2, LAT",2.342763838,3.30E-07,2.62E-09,1.03E-09
hsa00190:Oxidative phosphorylation,54,1.30E-09,"NDUFA11, NDUFA12, TCIRG1, UQCRFS1, ATP6V1E1, ATP6V0B, ATP6V1G1, ATP6V0E1, ATP6AP1, NDUFC2, NDUFC1, SDHD, SDHB, NDUFS8, NDUFS7, PPA2, PPA1, NDUFS6, NDUFS5, NDUFS4, ATP6V1B2, UQCRC1, NDUFS2, ATP6V0D1, ATP6V0C, ATP6V1A, NDUFB9, NDUFB8, NDUFB7, UQCRB, NDUFB6, NDUFB10, NDUFB11, NDUFB4, NDUFB2, NDUFB1, UQCR11, COX5A, ATP6V1H, NDUFV3, ATP6V0E2, NDUFV2, ATP6V1D, ATP6V1C1, ATP6V0A1, ATP6V1F, NDUFA8, NDUFA6, NDUFA4, NDUFA3, NDUFA2, NDUFA1, NDUFAB1, CYCS",2.287624161,4.18E-07,3.29E-09,1.30E-09
hsa04730:Long-term depression,32,1.78E-09,"GNAI3, ARAF, ITPR1, ITPR2, ITPR3, GNAI1, GNAI2, PPP2CA, GNA13, PPP2CB, PPP2R1B, PPP2R1A, GNA11, MAPK1, HRAS, MAPK3, LYN, GUCY1A2, MAP2K1, MAP2K2, PLA2G4C, PLA2G4A, PRKCA, BRAF, IGF1, PLCB3, PLCB4, GNAQ, GNAS, KRAS, RAF1, PLCB2",3.027571728,5.71E-07,4.46E-09,1.78E-09
hsa01524:Platinum drug resistance,36,2.18E-09,"CDKN1A, XIAP, PIK3CD, PIK3R3, GSTT1, PIK3R2, BRCA1, PIK3R1, CASP9, CASP8, CASP3, AKT2, AKT3, ERBB2, REV3L, AKT1, MAPK1, BAK1, FADD, POLH, MAPK3, APAF1, CDKN2A, PDPK1, BAD, PIK3CA, BCL2, MDM2, BAX, FAS, CYCS, ATM, TP53, BIRC2, BIRC3, BCL2L1",2.799467009,6.99E-07,5.42E-09,2.18E-09
hsa03420:Nucleotide excision repair,27,5.49E-09,"PCNA, CETN2, XPC, POLD3, POLD4, POLD1, POLD2, POLE, RFC5, RFC3, RFC4, RFC1, RFC2, RPA1, RPA2, GTF2H1, GTF2H3, RAD23B, RBX1, POLE4, DDB1, CDK7, ERCC3, RPA3, ERCC2, POLE3, MNAT1",3.26108125,1.76E-06,1.36E-08,5.49E-09
hsa03030:DNA replication,23,6.62E-09,"RFC5, RNASEH2C, RNASEH2B, RFC3, RFC4, RNASEH2A, PCNA, RFC1, RFC2, PRIM1, RPA1, RPA2, POLE4, POLD3, POLD4, POLA1, POLA2, RPA3, POLD1, POLD2, POLE3, SSBP1, POLE",3.626778633,2.13E-06,1.62E-08,6.62E-09
hsa05224:Breast cancer,56,6.86E-09,"RB1, CDKN1A, PTEN, ARAF, PIK3CD, BRCA1, FGF2, CCND1, MYC, AKT2, AKT3, AKT1, POLK, HRAS, NCOA1, MAP2K1, MAP2K2, FOS, PIK3CA, RAF1, SOS1, TP53, SOS2, NOTCH2, NOTCH3, SHC2, SHC3, SHC1, TCF7, PIK3R3, PIK3R2, PIK3R1, EGFR, LRP6, ERBB2, E2F1, MAPK1, E2F3, BAK1, MAPK3, TCF7L2, JUN, TCF7L1, BRAF, IGF1, NFKB2, CDK6, RPS6KB1, SP1, CDK4, RPS6KB2, BAX, CTNNB1, KRAS, GRB2, FGFR1",2.162551235,2.20E-06,1.67E-08,6.86E-09
hsa04217:Necroptosis,59,7.96E-09,"TNFAIP3, HMGB1, PYCARD, CASP8, FTH1, TNFSF10, CAPN2, CASP1, JAK2, JAK3, GLUL, JAK1, IFNAR2, HSP90AA1, PARP1, RIPK3, IFNGR1, IFNGR2, PLA2G4C, CYBB, PLA2G4A, TRAF2, TYK2, TICAM1, TNFRSF1A, RBCK1, SQSTM1, TLR4, PPIA, IRF9, TLR3, BIRC2, BIRC3, FTL, IFNAR1, RNF31, CAMK2D, VPS4B, VPS4A, XIAP, MAPK9, MAPK8, SHARPIN, RIPK1, FADD, CAMK2G, STAT5B, STAT1, USP21, STAT2, STAT3, EIF2AK2, TNFRSF10A, MAPK10, CYLD, GLUD1, BCL2, BAX, FAS",2.106447311,2.55E-06,1.92E-08,7.96E-09
hsa05207:Chemical carcinogenesis - receptor activation,72,1.16E-08,"RB1, ATF2, PIK3CD, ARRB1, ARRB2, FGF2, CCND3, CCND1, CREB3L4, MYC, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, JAK2, PRKACA, KPNA2, IKBKE, PRKACB, HRAS, KPNA1, MAP2K1, HSP90AA1, MAP2K2, PRKCA, FOS, CREB3, CREB1, ADCY9, PIK3CA, RAF1, PPARA, SOS1, SOS2, ATF4, CREB5, NOTCH2, ADCY4, GNAI3, PIK3R3, XIAP, ADCY3, CACNA1D, GSTT1, PIK3R2, CACNA1C, PIK3R1, ADCY7, EGFR, RELA, GNAI1, ADCY6, HSP90B1, GNAI2, RXRA, E2F1, MAPK1, MAPK3, STAT5B, JUN, BAD, PTGES3, STAT3, NFKB1, RPS6KB1, BCL6, RPS6KB2, BCL2, GNAS, KRAS, GRB2",1.927934827,3.72E-06,2.77E-08,1.16E-08
hsa04066:HIF-1 signaling pathway,45,1.59E-08,"CDKN1A, CAMK2D, CDKN1B, PIK3CD, PIK3R3, PIK3R2, ENO1, PDHB, PIK3R1, ENO2, RELA, EGFR, LDHA, AKT2, AKT3, ERBB2, PLCG2, AKT1, MAPK1, HMOX1, EP300, PLCG1, CAMK2G, MAPK3, EGLN3, MAP2K1, CREBBP, MAP2K2, PDHA1, IFNGR1, IFNGR2, RPS6, STAT3, CYBB, PRKCA, IGF1, NFKB1, RBX1, PFKL, PIK3CA, RPS6KB1, RPS6KB2, BCL2, GAPDH, TLR4",2.343590501,5.12E-06,3.79E-08,1.59E-08
hsa00071:Fatty acid degradation,25,1.69E-08,"ACADVL, ECHS1, ADH1B, ECI2, ADH5, ACAT2, ACAT1, ALDH2, ALDH1B1, CPT2, ACADM, HADH, ACAA1, ACADS, CPT1A, ACSL5, ACSL4, HADHB, ALDH3A2, HADHA, ACOX1, EHHADH, ACOX3, ALDH7A1, ALDH9A1",3.300405227,5.42E-06,3.98E-08,1.69E-08
hsa03018:RNA degradation,36,2.86E-08,"BTG3, BTG2, DIS3L, ENO1, ENO2, HSPD1, EDC4, EXOSC7, EXOSC6, EXOSC5, EXOSC4, EXOSC9, EXOSC3, DCPS, EXOSC2, HSPA9, CNOT6L, DIS3, LSM1, CNOT10, LSM5, LSM4, CNOT4, CNOT6, PFKL, LSM6, CNOT7, CNOT1, CNOT2, CNOT3, PABPC1, CNOT8, DCP1A, DCP2, MPHOSPH6, DCP1B",2.586849262,9.18E-06,6.70E-08,2.86E-08
hsa04920:Adipocytokine signaling pathway,33,2.93E-08,"PRKAA1, PRKAA2, PRKAG2, IRS2, ACACB, RELA, IKBKB, MAPK9, STK11, MAPK8, RXRA, AKT2, AKT3, AKT1, IKBKG, JAK2, PCK2, CPT1A, CHUK, STAT3, ACSL5, ACSL4, TRAF2, PTPN11, PRKAB1, NFKB1, TNFRSF1A, MAPK10, NFKBIA, PRKCQ, PPARA, NFKBIE, NFKBIB",2.714942039,9.41E-06,6.82E-08,2.93E-08
hsa04962:Vasopressin-regulated water reabsorption,25,3.10E-08,"DYNC1I2, RAB5C, DCTN2, DCTN1, DCTN4, ADCY3, ADCY6, DYNC2LI1, CREB3L4, CREB3L1, ARHGDIB, CREB3L2, PRKACA, PRKACB, NSF, DYNC1H1, DYNLL1, DYNLL2, CREB3, DYNC1LI2, CREB1, ADCY9, GNAS, RAB5A, CREB5",3.225396018,9.94E-06,7.15E-08,3.10E-08
hsa04622:RIG-I-like receptor signaling pathway,33,4.50E-08,"NLRX1, RELA, IFIH1, IKBKB, MAPK9, MAPK8, CASP8, TBK1, CASP10, RIPK1, FADD, IKBKG, MAP3K7, IKBKE, MAP3K1, CHUK, TRAF2, MAPK14, MAPK12, ATG12, NFKB1, MAPK13, MAPK10, NFKBIA, CYLD, MAPK11, CXCL10, MAVS, IRF3, TRAF6, IRF7, PIN1, NFKBIB",2.676157153,1.44E-05,1.03E-07,4.50E-08
hsa04934:Cushing syndrome,56,5.83E-08,"RB1, ATF2, CDKN1A, CDKN1B, CCND1, CREB3L4, CREB3L1, CREB3L2, PRKACA, PRKACB, MAP2K1, MAP2K2, CREB3, PLCB3, PLCB4, CREB1, ADCY9, PLCB2, ATF4, CREB5, CAMK2D, TCF7, ADCY4, GNAI3, ITPR1, ADCY3, ITPR2, CACNA1D, ITPR3, CACNA1C, ADCY7, EGFR, GNAI1, ADCY6, GNAI2, RAP1B, RAP1A, RBBP5, GNA11, E2F1, MAPK1, E2F3, CAMK2G, MAPK3, TCF7L2, CDKN2B, TCF7L1, CDKN2A, BRAF, CDK6, SP1, CDK4, GNAQ, CDK2, GNAS, CTNNB1",2.050935687,1.87E-05,1.33E-07,5.83E-08
hsa05216:Thyroid cancer,22,9.05E-08,"TCF7L2, CDKN1A, MAP2K1, TCF7L1, MAP2K2, TCF7, BRAF, RXRA, TFG, CCND1, CDH1, MYC, TPR, BAX, MAPK1, CTNNB1, KRAS, BAK1, POLK, HRAS, TP53, MAPK3",3.375333346,2.90E-05,2.05E-07,9.05E-08
hsa04270:Vascular smooth muscle contraction,50,1.06E-07,"ARAF, PPP1CB, PPP1CC, EDNRA, PRKACA, PRKACB, GUCY1A2, PLA2G12A, MAP2K1, MAP2K2, PRKCE, PLA2G4C, PRKCD, PLA2G4A, PRKCA, RHOA, MYL6, PLCB3, PLCB4, ADCY9, KCNMA1, PRKCQ, RAF1, PPP1R12B, MYL9, PLCB2, ROCK2, ADCY4, ITPR1, ADCY3, ITPR2, CACNA1D, ITPR3, CACNA1C, PLA2G6, ADCY7, ADCY6, GNA13, GNA11, MYH14, MAPK1, MYH10, MAPK3, BRAF, PPP1CA, GNAQ, GNAS, CALM3, CALM1, CALM2",2.118170519,3.39E-05,2.37E-07,1.06E-07
hsa04120:Ubiquitin mediated proteolysis,52,1.14E-07,"UBE2D3, UBE2D1, CBLC, UBE2L6, CBLB, BRCA1, PRPF19, CDC20, HERC2, CDC23, CDC26, CDC27, SKP1, PIAS4, PIAS3, ANAPC7, RBX1, DDB1, TRAF6, ANAPC4, ANAPC5, UBA52, ANAPC1, BIRC2, ANAPC2, BIRC3, UBA7, ANAPC16, CUL1, XIAP, RCHY1, CBL, ANAPC10, ANAPC11, FZR1, SOCS1, UBB, UBC, RPS27A, MAP3K1, SMURF2, UBE2C, SIAH1, SYVN1, WWP1, PML, NEDD4, CDC16, UBE2N, UBA3, MDM2, UBE2M",2.078790447,3.64E-05,2.53E-07,1.14E-07
hsa04713:Circadian entrainment,40,1.18E-07,"CAMK2D, ADCY4, GNAI3, ITPR1, ADCY3, CACNA1D, ITPR3, CACNA1C, ADCY7, GNAI1, ADCY6, GNAI2, GNG2, GNG5, MAPK1, PRKACA, CAMK2G, PRKACB, MAPK3, GUCY1A2, PRKCA, FOS, GNG12, GNG11, PER2, PER1, PLCB3, PLCB4, CREB1, ADCY9, GNAQ, GNB2, GNB1, GNB4, GNAS, CALM3, GNB5, CALM1, PLCB2, CALM2",2.340905976,3.80E-05,2.62E-07,1.18E-07
hsa04916:Melanogenesis,41,1.33E-07,"CAMK2D, TCF7, ADCY4, GNAI3, ADCY3, ADCY7, GNAI1, ADCY6, GNAI2, CREB3L4, CREB3L1, CREB3L2, MAPK1, EP300, PRKACA, HRAS, CAMK2G, PRKACB, MAPK3, TCF7L2, MAP2K1, CREBBP, TCF7L1, MAP2K2, PRKCA, MITF, CREB3, PLCB3, KITLG, PLCB4, CREB1, ADCY9, GNAQ, GNAS, CTNNB1, KRAS, CALM3, RAF1, CALM1, PLCB2, CALM2",2.304401749,4.26E-05,2.92E-07,1.33E-07
hsa03440:Homologous recombination,23,1.73E-07,"BARD1, TOP3B, BLM, XRCC2, TOP3A, XRCC3, RPA1, RPA2, BRCA1, BRCC3, RAD54B, RAD52, POLD3, POLD4, BRIP1, RAD50, RAD51C, RPA3, POLD1, POLD2, ATM, NBN, SSBP1",3.184488556,5.55E-05,3.78E-07,1.73E-07
hsa04530:Tight junction,58,2.48E-07,"ITGB1, ARPC1B, ARPC1A, ARPC5L, PRKAG2, PPP2R2A, F11R, ACTB, ACTG1, TUBA1C, TUBA1B, STK11, PPP2R1B, CCND1, PPP2R1A, RAC1, PRKACA, PRKACB, PRKCE, ACTN1, ACTN4, PRKAB1, RHOA, TUBA4A, TIAM1, MYL6, CTTN, HCLS1, MYL9, PRKAA1, PRKAA2, PCNA, ROCK2, WAS, CACNA1D, PRKCZ, MYL12A, MYL12B, PPP2CA, CDC42, PPP2CB, MAPK9, MAPK8, RAP1A, ERBB2, MYH14, MAP2K7, MYH10, VASP, JUN, MAP3K1, ARPC4, ARPC5, MAPK10, ARPC2, ARPC3, CDK4, NEDD4",1.948215535,7.96E-05,5.38E-07,2.48E-07
hsa04520:Adherens junction,32,2.65E-07,"TCF7, WAS, NLK, EGFR, ACTB, ACTG1, CDC42, CDH1, ERBB2, CTNNA1, RAC2, MAPK1, EP300, FYN, RAC1, MAP3K7, MAPK3, TCF7L2, CREBBP, TCF7L1, SMAD4, SMAD3, ACTN1, CSNK2A2, ACTN4, SORBS1, RHOA, TGFBR1, TGFBR2, CTNNB1, MET, FGFR1",2.55851132,8.50E-05,5.70E-07,2.65E-07
hsa03013:Nucleocytoplasmic transport,42,3.62E-07,"POM121, NUP205, SEH1L, NXT1, RBM8A, NUP188, EIF4A3, NUP160, NXF1, XPO1, POM121C, SUMO1, NUP85, SUMO3, TPR, NUP62, SUMO2, SAP18, NUP43, NUP88, KPNA2, RAE1, KPNA1, RANBP2, NUP214, UPF2, SEC13, NUP133, NCBP1, NUP155, NUP210, NCBP2, UPF3B, SNUPN, NUP93, EEF1A1, NUP50, NUP35, NUP54, NUP98, RAN, NUP37",2.207604385,1.16E-04,7.75E-07,3.62E-07
hsa05031:Amphetamine addiction,31,4.61E-07,"ATF2, CAMK2D, HDAC2, CACNA1D, CACNA1C, PPP1CB, PPP3CA, PPP1CC, PPP3CB, PPP3R1, PPP3CC, CREB3L4, CREB3L1, CREB3L2, PRKACA, CAMK2G, PRKACB, JUN, PRKCA, FOS, SIRT1, PPP1CA, CREB3, CREB1, CAMK4, GNAS, CALM3, CALM1, CALM2, ATF4, CREB5",2.550400097,1.48E-04,9.80E-07,4.61E-07
